objectid,title,filename,object_location,format,latitude,longitude,date,subject,location,description,source,language
015,Fotografía del Foro Romano con el Capitolio en el fondo,015.pdf,/ARCHIVO/015.pdf,pdf,41.89243031018318,12.485432287066718,,Foro ,"Via della Salara Vecchia, 5/6, 00186 Roma RM, Italy",Fotografía del Foro Romano en Roma con el Campidoglio diseñado por Miguel Ángel en el fondo.,Colección de postales de Manuel Campero,It
016,Fotografía del Foro Trajano,016.pdf,/ARCHIVO/016.pdf,pdf,41.8949,12.4853,,Foro,"Via dei Fori Imperiali, 00186 Roma RM, Italy",Fotografía del Foro Trajano.,Colección de postales de Manuel Campero,It
017,"Retrato del papa Julio II, de Raffaello Sanzio",017.pdf,/ARCHIVO/017.pdf,pdf,43.7696,11.2558,1511,Papa Giullio II,"Florencia, Italia","Retrato en pintura del papa Giullio II, del artista renacentista Raffaello.",Colección de postales de Manuel Campero,It
018,"Retrato en pintura de una mujer joven, de Raffaello Sanzio",018.pdf,/ARCHIVO/018.pdf,pdf,43.7696,11.2558,1519,Retrato en pintura,"Florencia, Italia","Retrato de una mujer joven de Raffaello Sanzio, hoy expuesto en el Palazzo Barberini.",Colección de postales de Manuel Campero,It
019,Fotografía frontal de la plaza e iglesia de Santa María Novella.,019.pdf,/ARCHIVO/019.pdf,pdf,43.7732,11.2493,,Iglesia,"50123 Florence, Metropolitan City of Florence, Italy","Fotografía frontal de la plaza e iglesia de Santa María Novella en Florencia, Italia.",Colección de postales de Manuel Campero,It
020,Fotografía de una balaustrada dentro de la iglesia Certosa di Pavia.,020.pdf,/ARCHIVO/020.pdf,pdf,45.2532,9.1283,,Balaustrada,"27012 Certosa di Pavia, Province of Pavia, Italy","Fotografía frontal de una balasutrada en la Certosa di Pavia en la provincia de Pavia, Italia.",Colección de postales de Manuel Campero,It
021,Retrato de Angiolo Doni,021.pdf,/ARCHIVO/021.pdf,pdf,,,,Angiolo Doni,"R. Pitti Galería, Florencia, Italia",Un retrato de un italiano,Colección de postales de Manuel Campero,It
022,Pintura de Judith de Botticelli,022.pdf,/ARCHIVO/022.pdf,pdf,43.768333333333,11.255277777778,,Judith,"Galería Uffizi, Florencia, Italia",Pintura de dos mujeres de Botticceli.,Colección de postales de Manuel Campero,It
023,Fotografía Panorama visto desde los jardines de Boboli,023.pdf,/ARCHIVO/023.pdf,pdf,43.765275,11.249968,,Jardines ,"Jardines Boboli, Florencia, Italia",Construcciones vistas desde los Jardines de Boboli.,Colección de postales de Manuel Campero,It
024,Fotografía de la Plaza de la Señoría,024.pdf,/ARCHIVO/024.pdf,pdf,43.769722222222,11.255555555556,,Plaza ,"Plaza de la Señoría, Florencia Italia",Arcos en la Plaza de la Señora con estuatillas.,Colección de postales de Manuel Campero,It
025,Fotografía del mar de Nápoles,025.pdf,/ARCHIVO/025.pdf,pdf,43.76802545,11.2531580028995,,Mar de Nápoles,"Ponte Vecchio, Florencia, Italia",Panorama del mar de Nápoles con una balsa en medio del mar con la ciudad atrás.,Colección de postales de Manuel Campero,It
026,Pintura de la fachada de la Catedral Santa María del Fiore,026.pdf,/ARCHIVO/026.pdf,pdf,43.773055555556,11.256944444444,,Catedral ,,Catedral con personas y caballos a su alrededor.,Colección de postales de Manuel Campero,It
027,Fotografía interior del Palazzo di Parte Guelfa,027.pdf,ARCHIVO/027.pdf,pdf,43.7695,11.2536,,Palacio,"Palazzetto di Parte Guelfa, Florencia, Italia",,Colección de postales de Manuel Campero,It
028,Fotografía del Puente Vecchio,028.pdf,/ARCHIVO/028.pdf,pdf,43.767989,11.253192,,Puente ,,Vista debajo del Puente Vecchio con personas en góndolas sobre el agua.,Colección de postales de Manuel Campero,It
029,Fotografía de la Iglesia de S. M. Novella,029.pdf,/ARCHIVO/029.pdf,pdf,43.7732,11.2493,,Iglesia ,,Iglesia de S. M. Novella de frente con estructuras a su alrededor.,Colección de postales de Manuel Campero,It
030,Fotografía del Palacio Pretorio,030.pdf,/ARCHIVO/030.pdf,pdf,,,,Palacio,,"Vista periferica del Palacio Pretorio desde abajo, tiene una estructura cuadrada.",Colección de postales de Manuel Campero,It
031,"Pintura Padua, Italia",031.pdf,/ARCHIVO/031.pdf,pdf,45.406388888889,11.877777777778,,Calle,"Padova, Italia, Padua",Via 8 de febrero,Colección de postales de Manuel Campero,It
032,Autoretrato de Elizabeth Le Brun,032.pdf,/ARCHIVO/032.pdf,pdf,,,1790,Personaje,Italia,Autoretrato de Elizabeth Le Brun,Colección de postales de Manuel Campero,It
033,Baptisterio de Florencia,033.pdf,/ARCHIVO/033.pdf,pdf,43.77301461865487,11.255918750075223,,"Arquitectura, Renacimiento","Florencia, Italia","La Puerta del Paraíso (Porta del Paradiso, en italiano) es el nombre con el que se conoce popularmente a la puerta este del Baptisterio de Florencia. Se encuentra ubicada frente a la catedral de Santa María del Fiore.",Colección de postales de Manuel Campero,It
034,El baptisterio restaurado,034.pdf,/ARCHIVO/034.pdf,pdf,43.77301461865488,11.255918750075224,,"Arquitectura, Renacimiento","Florencia, Italia",El baptisterio restaurado y revestido de mármol por arnolfo di Cambio,Colección de postales de Manuel Campero,It
035,Pintura Papa Pio XI,035.pdf,/ARCHIVO/035.pdf,pdf,41.90213475818899,12.454387310939909,1924,Religion,Vaticano,"El Papa Pio XI golpeando la puerta santa en San Pedro antes de abrir, el 24 de diciembre de 1924",Colección de postales de Manuel Campero,It
036,Pintura Papa,036.pdf,/ARCHIVO/036.pdf,pdf,41.90213475818900,12.454387310939910,,Religion,Vaticano,Su santidad en las tinajas vaticanas postal,Colección de postales de Manuel Campero,It
037,Pintura de la Virgen con el niño,037.pdf,/ARCHIVO/037.pdf,pdf,,,1655,Pintura,Italia,"La Virgen con el Niño será una de las escenas más tratadas por los pinceles de Murillo debido a la amplia demanda de esta temática en la España de la Contrarreforma. Esta obra que contemplamos estaría realizada en torno a 1655, rivalizando con la Virgen del Rosario que guarda el Museo del Prado. Las dos figuras aparecen recortadas sobre un fondo neutro y reciben un potente foco de luz procedente de la izquierda, consiguiendo de esta manera mayor monumentalidad. La serenidad de la postura de la Virgen contrasta con el movimiento escorzado del Niño, rompiendo así con la composición piramidal. La gran novedad de este trabajo estaría en las expresiones de ambos personajes, dirigiendo su mirada hacia el espectador para crear un prototipo de devoción popular en el que destaca la amabilidad de los gestos, anticipando la estética rococó. Las tonalidades brillantes y vaporosas empleadas aportan mayor elegancia a la composición, destacando la belleza idealizada de María, cuyo rostro recuerda a Rafael, aunque el pintor sevillano haya roto la comunicación entre Madre e Hijo conseguida por el italiano. El elegante dibujo de Murillo se pone claramente de manifiesto en la volumetría de ambos personajes y en la correcta definición de sus miembros, especialmente en el cuerpo desnudo del Niño.",Colección de postales de Manuel Campero,It
038,Pintura de la Basílica de Santa Giustina,038.pdf,/ARCHIVO/038.pdf,pdf,45.39640109256223,11.879348188358732,,"Pintura, Jardin, Religion","Italia, Padova, Padua",Imagen del jardin y basilica de Santa Justina. ,Colección de postales de Manuel Campero,It
039,Imagen del Museo de San Marco,039.pdf,/ARCHIVO/039.pdf,pdf,43.77843919596646,11.259326435949387,,"Religion, Arquitectura","Florencia, Italia",Se aprecia el claustro de San Domenico,Colección de postales de Manuel Campero,It
040,Fotografia del canal grande de Venecia,040.pdf,/ARCHIVO/040.pdf,pdf,45.432648160907135,12.329751344672593,,"Paisaje, Urbano","Venecia, Italia",Canal grande de la Academia en Venecia,Colección de postales de Manuel Campero,It
041,Fotografia del palacio del Arte de la lana en Florencia,041.pdf,/ARCHIVO/041.pdf,pdf,43.7864500,11.2489200,,Palacio ,"Palacio del arte de la lana, Florencia ","Edificio historico de Florencia, hoy pertenece a la sociedad Italiana Dante, la torre data del sigo XIII ",Colección de postales de Manuel Campero,It
042,Fotografia de la plaza de la Señoria,042.pdf,/ARCHIVO/042.pdf,pdf,43.7696312460687,11.255459807735717,,Plaza,"Plaza de la Señoría, Florencia Italia","Es la plaza central de Florencia, es la sede del poder civil con el ""Palacio Viejo"" y es el corazón de la vida social de la ciudad.",Colección de postales de Manuel Campero,It
043,Fotografia de Palazzo Vecchio,043.pdf,/ARCHIVO/043.pdf,pdf,43.7687,11.2569,,Palacio ,"Palacio Vecchio, Florencia, Italia","Palacio viejo se encuentra en la plaza de la Señorìa,  Alberga oficinas del Ayuntamiento de la ciudad si bien las principales salas están abiertas al público como museo donde pueden verse murales y cuadros de artistas célebres de la escuela florentina",Colección de postales de Manuel Campero,It
044,"Fotografia del palacio pretorio en Florencia, ahora Museo Nacional El Patio",044.pdf,/ARCHIVO/044.pdf,pdf,38.1156614921151,13.361920407561643,,Museo,Palacio Pretorio en Florencia ,"El Palacio Pretorio es de planta rectangular, con una fachada principal que se abre hacia la parte sur de la plaza del Pretorio. Dispuesto en dos niveles, su principal característica son los bloques de toba que cubren totalmente sus paredes exteriores.",Colección de postales de Manuel Campero,It
045,Fotografia del Monumento a Dante Alighieri ,045.pdf,/ARCHIVO/045.pdf,pdf,46.07152,11.12044,,Monumento ,"Plaza de Santa Croce, Florencia ","Es una de las principales plazas o plazas ubicadas en el céntrico barrio de Florencia, en la región de Toscana, Italia. Se encuentra cerca de la Piazza della Signoria y de la Biblioteca Central Nacional, y toma su nombre de la Basílica de Santa Croce que domina la plaza.",Colección de postales de Manuel Campero,It
046,Fotografia del Puente Vecchio en Florencia ,046.pdf,/ARCHIVO/046.pdf,pdf,43.768009,11.253165,,Puente ,"Ponte Vecchio, Florencia, Italia","Es un puente medieval sobre el río Arno en Florencia (Italia). Es un símbolo de la ciudad y uno de los puentes más famosos del mundo, uno de los pocos puentes habitados que se conservan. Atraviesa el río Arno en su punto más estrecho.",Colección de postales de Manuel Campero,It
047,Fotografia Marco con el monumento al general,047.pdf,/ARCHIVO/047.pdf,pdf,43.7792500,11.2462600,,Plaza,"Plaza e Chiesa, Italia","Posee el rango de catedral y también el de iglesia patriarcal, además del de basílica",Colección de postales de Manuel Campero,It
048,Retrato de Giuditta- Cristofano Allori,048.pdf,/ARCHIVO/048.pdf,pdf,43.76506,11.24982,,Retrato ,"Galleria Pitti, Florencia, Italia","Es un palacio renacentista en Florencia, Italia, situado en la ribera sur del río Arno, a muy corta distancia del Ponte Vecchio que data de 1458 y que fue originalmente la residencia urbana de Luca Pitti, un banquero florentino.",Colección de postales de Manuel Campero,It
049,Fotografia de Monumento a Giovanni delle Bande Nere,049.pdf,/ARCHIVO/049.pdf,pdf,43.77504,11.25406,,Monumento ,"Plaza de S. Lorenzo, Florencia","La Plaza de San Lorenzo es una de las plazas más importantes de Florencia. Su basílica con la Capilla de los Medici, el Palacio Medici Riccardi y la Biblioteca Medicea Laurenziana",Colección de postales de Manuel Campero,It
050,Fotografia de Ponte Santa Trinita,050.pdf,/ARCHIVO/050.pdf,pdf,43.76903,11.25032,,Puente ,"Puente S. Trinita, Florencia ","El puente de Santa Trinita tiene interés por si mismo. Construido por Ammanati a partir de 1567y se hallaba en un importante enclave de la ciudad medieval, que ya contaba con otros puentes de madera.",Colección de postales de Manuel Campero,It
051,"Fotografía de la ""Eglise Saint-Ambroise"" en Francia",051.pdf,ARCHIVO/051.pdf,pdf,48.861067,2.375564,,Iglesia ,"71 bis Bd Voltaire, 75011 Paris, Francia","Ubicada en París, la Iglesia de San Ambrosio está declarada monumento histórico y es atracción para muchos turistas",Colección de postales de Manuel Campero,fr
052,Retrato de Francois Napoleon,052.pdf,ARCHIVO/052.pdf,pdf,,,,Retrato ,Francia,"Napoleón II, a pesar de ser el hijo del emperador francés,  no obtuvo ningún título de liderazgo debido a la mala reputación de su padre. Sin embargo,  se le cedió el nombre de ""Duque de Reichstadt""  ",Colección de postales de Manuel Campero,Fr
053,Fotografía de poste de observación de trincheras alemanas ,053.pdf,ARCHIVO/053.pdf,pdf,49.15,4.966667,1915,Guardia ,"Bosque de Argonne, Francia",El bosque de Argonne fue un lugar de fuerte acción militar durante la Primera Guerra Mundial..,Colección de postales de Manuel Campero,Fr
054,"Fotografía del ""Pont Mayou"" en Francia",054.pdf,ARCHIVO/054.pdf,pdf,43.492222,1.473889,,Puente ,"64100 Bayonne, Francia","Cerca del puente se encuentran varios museos, por lo que por ahí pasan muchos turistas",Colección de postales de Manuel Campero,Fr
055,"Fotografía de Páturas y un paisaje de fondo, Francia",055.pdf,ARCHIVO/055.pdf,pdf,42.695,-0.008889,,Cabra,"Gavarnie, Francia","La foto muestra un pastizal en Gavarnie, Francia, en el que se crían animales.",Colección de postales de Manuel Campero,Fr
056,Pintura de Napoleón Bonaparte en su primera visita a la enfermería en el Castillo de Malmaison,056.pdf,ARCHIVO/056.pdf,pdf,48.8708,2.166848,,Napoleón  ,"12 Av. du Castillo de Malmaison, 92500 Rueil-Malmaison, Francia",El castillo es ahora un museo napoleónico. Fue el hogar de Josefina y Napoleón Bonaparte,Colección de postales de Manuel Campero,Fr
057,Pintura de Napoleón Bonaparte presentando al Rey de Roma a los dignatarios del gobierno francés,057.pdf,ARCHIVO/057.pdf,pdf,48.804806,2.120333,1812,Napoleón Bonaparte con el Rey de Roma,"Place d'Armes, 78000 Versalles, Francia",El hecho se dio en el Palacio de Versalles. Que hoy en día es de los museos más importantes en Europa,Colección de postales de Manuel Campero,Fr
058,Fotografía de los escombros de una estructura tras un bombardeo Zeppelin en Francia,058.pdf,ARCHIVO/058.pdf,pdf,48.860267,2.342869,1916,Escombros de una casa,"Rue de Rivolie, París, Francia.",Fallecieron 7 personas de ese edificio tras eñ hecho,Colección de postales de Manuel Campero,Fr
059,Pintura de la armada francesa,059.pdf,ARCHIVO/059.pdf,pdf,,,,Soldados,-----,Un batallón de infantería francés descansando en el suelo. Se distinguen por sus sombreros característicos,Colección de postales de Manuel Campero,Fr
060,"Fotografía del ""Bois de Boulogne"" en Francia",060.pdf,ARCHIVO/060.pdf,pdf,48.864722,2.250833,,Personas ,"Bois de Boulogne, París, Francia","Hoy en día el parque sigue ahí, teniendo más del doble de tamaño que el Central Park en Nueva York",Colección de postales de Manuel Campero,Fr
061,Retrato de Jerome Bonaparte,061.pdf,ARCHIVO/061.pdf,pdf,,,1784,Jerome Bonaparte,,Retrato pintado de Jerome Bonaparte,Colección de postales de Manuel Campero,Fr
062,Retrato de Marie-Louise,062.pdf,ARCHIVO/062.pdf,pdf,,,1791,"Marie-Louise, Duquesa de Parma",,"Retrato pintado de Marie-Luise, Duquesa de Parma",Colección de postales de Manuel Campero,Fr
063,Pintura del ejército francés en una trinchera,063.pdf,ARCHIVO/063.pdf,pdf,,,,Ejército,,Pintura de la infantería francesa en una trinchera,Colección de postales de Manuel Campero,Fr
064,Retato del emperador Napoleón,064.pdf,ARCHIVO/064.pdf,pdf,48.4047,2.7016,1814,Napoleón,"Fontainebleau, Francia","Retrato del emperador Napoleón en 1814, pintado por Paul Delaroche",Colección de postales de Manuel Campero,Fr
065,Pintura del ejército alemán,065.pdf,ARCHIVO/065.pdf,pdf,,,,Ejército,,Pintura de la artillería alemana en marcha,Colección de postales de Manuel Campero,Fr
066,Fotografía colorizada de un cañón francés,066.pdf,ARCHIVO/066.pdf,pdf,,,,Ejército,,Fotografía colorizada de un cañón francés con militares,Colección de postales de Manuel Campero,Fr
067,"Fotografía de un ""attelage béarnais"" en los pirineos",067.pdf,ARCHIVO/067.pdf,pdf,42.6682,1.0012,,Campesinos,"Pirineos franceses, Francia",Fotografía de un hombre con bestias de carga en los pirineos franceses,Colección de postales de Manuel Campero,Fr
068,Fotografía de una comunidad en los pirineos franceses,068.pdf,ARCHIVO/068.pdf,pdf,42.6682,1.0012,,Campesinos,"Pirineos franceses, Francia",Fotografía de una comunidad en los pirineos franceses,Colección de postales de Manuel Campero,Fr
069,Fotografía colorizada del general Joseph Joffre,069.pdf,ARCHIVO/069.pdf,pdf,,,,General,,Fotografía colorizada del general francés Joseph Joffre,Colección de postales de Manuel Campero,Fr
070,Ilustración de prisioneros de guerra,070.pdf,ARCHIVO/070.pdf,pdf,,,,Prisioneros de guerra,,Ilustración de prisioneros de guerra del ejército francés,Colección de postales de Manuel Campero,Fr
071,Pintura Santa Capilla,071.pdf,ARCHIVO/071.pdf,pdf,48.855290240924575,2.344767697955646,,"Arquitectura, Religion","Paris, Francia",Coro de la santa capilla después de la restauración,Colección de postales de Manuel Campero,Fr
072,Pintura de la Infanteria,072.pdf,ARCHIVO/072.pdf,pdf,48.858218124929735,2.3280498326100982,,"Infanteria, Ejercito",Francia,Seccion de ejercicio de la infanteria,Colección de postales de Manuel Campero,Fr
073,Pintura de María Luisa de Austria,073.pdf,ARCHIVO/073.pdf,pdf,48.858218124929736,2.3280498326100983,1813,Personaje,Francia,"María Luisa de Austria, Emperatriz consorte de los Franceses",Colección de postales de Manuel Campero,Fr
074,Fotografia del interior del Hotel Gassion,074.pdf,ARCHIVO/074.pdf,pdf,43.30081194783724,-0.37023033730020305,,"Arquitectura, Urbanismo","Pau, Francia","Este hotel de lujo fue construido por un habitante de Béarn que había hecho una fortuna en Brasil. Está ubicado donde solía estar la mansión privada de la familia Gassion y que había sido transformada en una prisión departamental bajo el Imperio francés. Inaugurado en 1872, este símbolo del lujo y de la alta sociedad de Pau ofrecía a su acaudalada clientela todos los servicios que cabía esperar en materia de descanso y ocio: restaurante, salón de té, salas de juegos, sala de billar, sala de fumadores, zona de lectura, jardín e incluso salas de inhalación de aguas termales. A sus 240 habitaciones y suites, a la vanguardia del confort y dotadas de baños e iluminación de gas, se podía llegar a través de uno de los primeros ascensores hidráulicos de Europa. El personal vivía en el ático. Los animales de trabajo accedían al patio interior, donde estaban las cuadras, a través de una puerta situada en el lado de la ciudad. El hotel cerró en 1930 y se dividió en apartamentos.",Colección de postales de Manuel Campero,Fr
075,Pintura de la armada francesa en campana,075.pdf,ARCHIVO/075.pdf,pdf,,,,Ejercito,Francia,Armada francesa,Colección de postales de Manuel Campero,Fr
076,Pintura de la caballeria ligera del ejército francés,076.pdf,ARCHIVO/076.pdf,pdf,,,,Ejercito,Francia,Caballeria ligera,Colección de postales de Manuel Campero,Fr
077,Napoleon y su hijo en el palacio de Malmaison,077.pdf,ARCHIVO/077.pdf,pdf,,,,"Interior, realeza","Rueil-Malmaison, Francia",Napoleon y su hijo al interior del palacio. ,Colección de postales de Manuel Campero,Fr
078,Fotografía colorizada del ejército francés en una fuente,078.pdf,ARCHIVO/078.pdf,pdf,,,,Ejército,,Fotografía del ejército francés bebiendo agua de una fuente,Colección de postales de Manuel Campero,Fr
079,Ilustración y biografía breve de Lucien Bonaparte,079.pdf,ARCHIVO/079.pdf,pdf,,,1775,Lucien Bonaparte,,Ilustración y biografía breve de Lucien Bonaparte,Colección de postales de Manuel Campero,Fr
080,Fotografia de Napoleon ,080.pdf,ARCHIVO/080.pdf,pdf,,,,Napoleon ,,,Colección de postales de Manuel Campero,
081,Fotografia del septimo guardia dragones de la princesa real ,081.pdf,ARCHIVO/081.pdf,pdf,55.378051,-3.435973,,Caballeria ,Reino Unido,"La 7.ª Guardia de Dragones (de la Princesa Real) era un regimiento de caballería del ejército británico, Prestó servicio durante dos siglos, incluida la Primera Guerra Mundial , antes de fusionarse con la 4.ª Guardia Real de Dragones de Irlanda , para formar la 4.ª/7.ª Guardia de Dragones. Guardias en 1922",Colección de postales de Manuel Campero,Ru
082,Fotografia de Palladian Lounge,082.pdf,ARCHIVO/082.pdf,pdf,,,,Aquitania,,"Interior del transatlántico de pasajeros 'Aquitania' (1914) que muestra el salón de primera clase, también llamado Palladian Lounge, en la cubierta Promenade (cubierta A). Esta es una vista del lado de estribor, mirando hacia las puertas dobles a través del Salón de Primera Clase (o Sala de Escritura)",Colección de postales de Manuel Campero,
083,Fotografia de un barco ,083.pdf,ARCHIVO/083.pdf,pdf,55.378051,-3.435973,,Barco,Reino Unido,"El RMS Aquitania fue un transatlántico británico que operó para la Cunard Line de los años de 1914 a 1950, del cual fue el barco que más años en servicio estuvo para esta línea (hasta que el Queen Elizabeth 2 rompió el récord en 2004). Es, además, el único barco de pasajeros en participar en ambas guerras mundiales. Por su diseño y años en servicio, además de sus interiores, lo nombraron ""The ship beautiful"".",Colección de postales de Manuel Campero,Ru
084,Fotografia de Elizabethan grill room,084.pdf,ARCHIVO/084.pdf,pdf,,,,Aquitania,,Se muestra un espacio del Elizabethan grill room,Colección de postales de Manuel Campero,
085,Fotografia Leaving Southampton,085.pdf,ARCHIVO/085.pdf,pdf,50.9039500,-1.4042800,,Southampton,Reino Unido,"Southampton, una ciudad del sur del Reino Unido que no goza de particular fama turística, es el lugar del país que más influencia ha tenido en Vivir Europa.",Colección de postales de Manuel Campero,Ru
086,Fotografia de cambio de guardias ,086.pdf,ARCHIVO/086.pdf,pdf,55.378051,-3.435973,,Guardias ,Reino Unido,El Cambio de la Guardia es el proceso en el que se releva a los guardias al cambiar de turno.,Colección de postales de Manuel Campero,Ru
087,Fotografia M.O 281,087.pdf,ARCHIVO/087.pdf,pdf,,,,Escuadron,,Se muestra al escuadron preparados ,Colección de postales de Manuel Campero,
088,"Fotografia de caballo de tambor, primeros salvavidas ",088.pdf,ARCHIVO/088.pdf,pdf,55.378051,-3.435973,,Salvavidas,Reino Unido,"El caballo del tambor tenía que ser impresionantemente alto y fuerte para llevar el peso de los tambores a través de largas procesiones. Los caballos también tenían que ser sensatos, tranquilos y bondadosos para respetar y responder voluntariamente a la dirección de rienda no tradicional utilizada. Para lograr esto, los criadores generalmente cruzaron las razas Clydesdale, Gypsy Cob y Shire. El resultado es un caballo grande, dócil y de buen carácter que hizo una aparición impresionante durante las procesiones.",Colección de postales de Manuel Campero,Ru
089,"Fotografia de entregando los colores, guardias de corriente fria ",089.pdf,ARCHIVO/089.pdf,pdf,,,,Guardias,,Guardias de corriente fria haciendo cambio de colores,Colección de postales de Manuel Campero,
090,Fotografia de individuos elegantes posando para la fotografia ,090.pdf,ARCHIVO/090.pdf,pdf,,,,Personas ,,Se muestra un grupo de personas preparados para la toma de la fotografia ,Colección de postales de Manuel Campero,
091,Retrato en pintura de Graefin Potocka,091.pdf,ARCHIVO/091.pdf,pdf,52.52437,13.41053,,Pintura retrato,"Berlín, Alemania","Pintura de un retrato con técnica pastel de Graefin Potcka, es un cuadro con relieve y con tonos claros. Pintura hecha por el pintor sueco, Anton Graff.",Colección de postales de Manuel Campero,De
092,Pintura de coronel alemán y su caballo,092.pdf,ARCHIVO/092.pdf,pdf,52.52437,13.41053,,Coronel,"Berlín, Alemania",Coronel y caballo de un batallón del ejércto alemán,Colección de postales de Manuel Campero,De
093,Pinura de soldado alemán sobre su caballo,093.pdf,ARCHIVO/093.pdf,pdf,52.52437,13.41053,,Soldado,"Berlín, Alemania",Soldado del ejército alemán con una escopeta sobre su hombro derecho con un cañón atrás.,Colección de postales de Manuel Campero,De
094,Fotografía de una calle en Bad Nauheim,094.pdf,ARCHIVO/094.pdf,pdf,50.3673,8.7394,,Ciudad,"Bad Nauheim, Alemania","Fotografía de una avenida en Bad Nauheim, Alemania",Colección de postales de Manuel Campero,De
095,Pintura de coronel alemán y su caballo,095.pdf,ARCHIVO/095.pdf,pdf,52.52437,13.41053,,Coronel,"Berlín, Alemania",Coronel y caballo de un batallón del ejércto alemán con personas atrás.,Colección de postales de Manuel Campero,De
096,Pintura de soldado alemán sobre su caballo,096.pdf,ARCHIVO/096.pdf,pdf,52.52437,13.41053,,Soldado,"Berlín, Alemania",Pintura de un soldado con su caballo y más caballo detrás en movimiento. ,Colección de postales de Manuel Campero,De
097,"Fotografía del Parián en Puebla, México",097.pdf,ARCHIVO/097.pdf,pdf,20.6388,103.3110,,Mercado,"Puebla, México","Fotografía del mercado El Parián en Puebla, México",Colección de postales de Manuel Campero,Es
